space_id,organization_id,identifier_value
9656,3958,000008752008
9658,3959,000005014723
9660,3960,000009333340
9662,3961,000006655000
9664,3962,000008961901
9666,3963,000009075339
9668,3964,000009032511
9670,3965,000007959621
9672,3966,099953400151
9674,3967,000007412821
9676,3968,000008566452
9678,3969,000008883316
9680,3970,000008939522
9682,3971,000000422382
9684,3972,000007439749
9686,3973,000001706023
9688,3974,073730011702
9690,3975,000008281732
9692,3976,000008435565
9694,3977,000008611983
9696,3978,000009042273
9698,3979,000008840660
9700,3980,000008648207
9702,3981,000009032880
9704,3982,000007619140
9706,3983,000008883545
9708,3984,000006671473
9710,3985,000005773386
9712,3986,000009026311
9714,3987,000008850197
9716,3988,000007547074
9718,3989,016412340042
9720,3990,000006913595
9722,3991,000008762066
9724,3992,000008494624
9726,3993,000005472673
9728,3994,001180530411
9730,3995,079257720022
9732,3996,000001837453
9734,3997,000007694224
9736,3998,000008111042
9738,3999,000007717023
9740,4000,000008500122
9742,4001,000002127393
9744,4002,000008801094
9746,4003,095146840262
9748,4004,000006819029
9750,4005,000008877333
9752,4006,000008605865
9754,4007,000007393547
9756,4008,000008893399
9758,4009,000008412149
9760,4010,000001069032
9762,4011,000006894039
9764,4012,000006194707
9766,4013,000006835274
9768,4014,000008412222
9770,4015,000008412238
9772,4016,000007092998
9774,4017,000006878210
9776,4018,000008834866
9778,4019,000008746659
9780,4020,000002444604
9782,4021,000008713258
9784,4022,000000289792
9786,4023,000008949942
9788,4024,021351405512
9790,4025,000007936835
9792,4026,000009167632
9794,4027,000008121164
9796,4028,054141819425
9798,4029,000008340425
9800,4030,000006681848
9802,4031,000006489424
9804,4032,000007459795
9806,4033,000008066436
9808,4034,000008959627
9810,4035,000008870117
9812,4036,000008334031
9814,4037,005551271031
9816,4038,000008860783
9818,4039,000008811323
9820,4040,000001611206
9822,4041,000006829399
9824,4042,000008269922
9826,4043,021350533322
9828,4044,095692022931
9830,4045,000008668515
9832,4046,000008498717
9834,4047,000008000048
9836,4048,000009056056
9838,4049,000007989755
9840,4050,000008164543
9842,4051,000007913529
9844,4052,042450909201
9846,4053,000007479236
9848,4054,000008406778
9850,4055,000008164773
9852,4056,000008995197
9854,4057,000008432235
9856,4058,000008952361
9858,4059,000008942903
9860,4060,000001697493
9862,4061,000009013540
9864,4062,000008805342
9866,4063,000007577014
9868,4064,000008694499
9870,4065,000006943624
9872,4066,000009226315
9874,4067,000006642817
9876,4068,000008838923
9878,4069,000006106786
9880,4070,000008387122
9882,4071,000007145347
9884,4072,005531110531
9886,4073,019441100432
9888,4074,021351409671
9890,4075,000005398695
9892,4076,000005218215
9894,4077,000008815160
9896,4078,000005836035
9898,4079,000009111616
9900,4080,000001232642
9902,4081,000008678824
9904,4082,000006793066
9906,4083,000006855800
9908,4084,000008629482
9910,4085,000008962351
9912,4086,099940814551
9914,4087,000008989265
9916,4088,000008995844
9918,4089,000008979863
9920,4090,000008426452
9922,4091,019510001322
9924,4092,000008858357
9926,4093,023801300583
9928,4094,000007773026
9930,4095,014816750612
9932,4096,000009092027
9934,4097,000008508145
9936,4098,000007894760
9938,4099,000005594495
9940,4100,000008786331
9942,4101,094742731081
9944,4102,000002611323
9946,4103,000006728171
9948,4104,000006011498
9950,4105,000006355188
9952,4106,000006273579
9954,4107,000005934348
9956,4108,000006904687
9958,4109,000009115150
9960,4110,000009115162
9962,4111,000008913597
9964,4112,000006136029
9966,4113,000009406630
9968,4114,000005950476
9970,4115,000008841494
9972,4116,000006388759
9974,4117,000009043105
9976,4118,000007992858
9978,4119,019457000973
9980,4120,000003251877
9982,4121,000006859593
9984,4122,000005676676
9986,4123,000008966123
9988,4124,000007237778
9990,4125,000002818017
9992,4126,000008577232
9994,4127,000007060017
9996,4128,092671110801
9998,4129,000008894109
10000,4130,000007548126
10002,4131,000002134811
10004,4132,000009076972
10006,4133,000009010125
10008,4134,000000910443
10010,4135,000006770380
10012,4136,000007302244
10014,4137,000008534643
10016,4138,000008796767
10018,4139,000009096089
10020,4140,000009086666
10022,4141,000008730080
10024,4142,000009096144
10026,4143,000006754610
10028,4144,000007708924
10030,4145,000006306789
10032,4146,000008489545
10034,4147,000008462747
10036,4148,000009141671
10038,4149,000007849573
10040,4150,000006940627
10042,4151,000008014952
10044,4152,000008341273
10046,4153,000007433720
10048,4154,000006293612
10050,4155,000007060723
10052,4156,000006803116
10054,4157,000009135248
10056,4158,000008642256
10058,4159,011751031811
10060,4160,099918601351
10062,4161,000008296048
10064,4162,000006748417
10066,4163,000009125901
10068,4164,000008878969
10070,4165,000009047182
10072,4166,000008845577
10074,4167,000008243860
